Total Hour, Hour,SW_in,LW_down,Ta,um,q,p,Rn,SM,lambdaE_SVAT (W m-2),Eta_SVAT (mm),Tk,ra,esat(T),e,D,delta,LH,psy_const,PET (mm),lambdaETa Typ Hydro (mm)
76.5,4.5,0.0,266.0428261,11.93091218,2.213511418,0.002232523,0,-61.95808934,27.04955592,0.017415422,0.00060954,285.10091218,93.96834292724665,1.3961871010346978,0.363233645659164,1.0329534553755337,0.09211105603768081,2472831.11634302,0.06665076158300633,1.3417465365980288,0.9073411993043677
77.5,5.5,98.9429265,264.9316644,11.65367067,2.259302314,0.002170716,0,14.55046652,26.96849946,55.69222464,1.949227862,284.82367067,92.063819308778,1.370853247734122,0.3531775871382637,1.0176756605958583,0.09064124272170111,2473485.6835481296,0.0666331235578429,2.5402850409452142,1.712691893874427
78.5,6.5,301.3592112,264.9578475,11.66021353,2.259389638,0.002339238,0,158.1538553,26.80867622,109.8105588,3.843369557,284.83021353000004,92.06026109959525,1.3714464381602172,0.38059627909967847,0.9908501590605387,0.09067569841921597,2473470.2358556697,0.0666335397051591,4.670253337539898,3.1300827397870377
79.5,7.5,496.8783293,273.809633,13.84491114,2.488084375,0.002286736,0,291.3915238,26.55672604,172.7476967,6.046169384,287.01491114000004,83.59845111763944,1.582586797181162,0.37205415305466244,1.2105326441264996,0.10282310801912879,2468312.16479846,0.06677278486932199,7.450514047721714,4.946531510562926
80.5,8.5,672.1759755,281.0032626,15.58167181,2.729272758,0.00211519,0,396.8723426,26.23244087,221.9742516,7.769098804,288.75167181,76.2107779042288,1.7702671172443603,0.3441434533762058,1.4261236638681545,0.1134425678526179,2464211.67285659,0.06688389596797834,9.89346166357116,6.488241202231057
81.5,9.5,815.3059047,287.8856209,17.21234316,2.872552247,0.002539874,0,482.1043798,25.85716079,256.4790873,8.976768055,290.38234316,72.40947495984744,1.9639588003607762,0.4132399498392283,1.550718850521548,0.12424720517450903,2460361.6577992397,0.06698855700663284,11.83790437953241,7.652364923955369
82.5,10.5,916.5140484,300.4886172,20.12415299,3.148461177,0.002479222,0,546.8520925,25.44307313,282.2107345,9.877375707,293.29415299000004,66.0640193118697,2.356312447338733,0.4033718109324759,1.9529406364062571,0.14571566633900399,2453486.87479061,0.0671762620227932,14.356057738650284,9.13155567257454
83.5,11.5,968.9032387,303.6268494,20.83493021,3.489520945,0.002466464,0,565.1180462,25.02740454,283.0944101,9.908304355,294.00493021,59.60703583053002,2.461900297644032,0.4012960720257234,2.0606042256183086,0.1514080138422138,2451808.7297741896,0.06722224093948695,15.130045654115904,9.46664433235569
84.5,12.5,968.9032387,304.8519334,21.11090412,3.537424194,0.002319589,0,551.3927883,24.61742434,279.1460778,9.770112722,294.28090412,58.7998466095186,2.50399795295995,0.37739936784565914,2.126598585114291,0.1536682878481193,2451157.1553726797,0.06724011016966351,15.094627954134863,9.2897715400341
85.5,13.5,916.5140484,308.4197734,21.90991874,3.821893462,0.002754092,0,511.1405855,24.22511072,266.9117358,9.341910753,295.07991874000004,54.423285753013495,2.6294491967306617,0.44809342508038585,2.181355771650276,0.16037383202851715,2449270.68185486,0.0672918997444582,14.693662771096694,8.898890187803985
86.5,14.5,815.3059047,311.9739497,22.69901026,4.556799472,0.002674117,0,438.3897423,23.86892979,242.144425,8.475054874,295.86901026000004,45.646072704776685,2.758696094187832,0.43508141543408363,2.3236146787537484,0.16723702166902693,2447407.63677614,0.0673431244937696,14.165834231176614,8.45308256701833
87.5,15.5,672.1759755,312.2289506,22.75536537,4.033005264,0.002314499,0,340.2065307,23.5430109,221.5591755,7.754571143,295.92536537,51.57444297350166,2.7681352174169405,0.3765712199356913,2.3915639974812493,0.16773651588447197,2447274.58236143,0.06734678583201044,12.311245949717096,7.246094939669261
88.5,16.5,496.8783293,306.5595736,21.49419876,4.178508148,0.002485197,0,213.1809112,23.24952444,199.7543965,6.991403877,294.66419876000003,49.77853162726441,2.5635095891899833,0.4043439491961415,2.1591656399938417,0.15685480488008363,2450252.19672764,0.06726494415168086,9.607282074275254,5.58411848469591
89.5,17.5,301.3592112,294.354493,18.71860174,4.07726145,0.002251169,0,72.4019687,23.01918905,157.1914521,5.501700823,291.88860174,51.01463385429943,2.159111870466428,0.36626736784565916,1.7928445026207689,0.13499076437612,2456805.38129186,0.0670855243258027,6.3736922557245155,3.667930674526089
90.5,18.5,98.9429265,294.51108,18.75475351,4.255060739,0.002506928,0,-45.43303846,22.89657519,83.67442315,2.92860481,291.92475351,48.882968483519925,2.163997058393302,0.40787960385852084,1.756117454534781,0.13525799170991554,2456720.02696289,0.06708785509196635,4.529236345531469,2.5926000134685525
91.5,19.5,0.0,280.3576637,15.42717585,4.038791965,0.002476256,0,-105.312191,22.89654086,0.023507455,0.000822761,288.59717585000004,51.50054813481833,1.752815839657551,0.40288923987138264,1.3499265997861685,0.11246162503978689,2464576.43781815,0.06687399694380226,2.6960822955148247,1.5432739610294446
