Total Hour, Hour,SW_in,LW_down,Ta,um,q,p,ra,e,esat(T),D,Tk,gR,gD,gT,gSM,SM,gs,rs,LW_up,Rn,LH,delta,psy_const,Cinterim,Cactual,Cfinal,Dcanopy,lambdaEi (C=Cactual),lambdaET,lambdaE,H,Ts
30.5,6.5,301.35921120210173,269.03431915514886,12.673015731416598,2.293972694349259,0.002220462885974997,0,15.849049296183704,0.36127145347374545,1.466033896575822,1.1047624431020764,285.8430157314166,0.7213013052566533,0.684027431025751,0.8719439404481238,0.9711801684329253,35.29538994948614,6.267146759157165,159.56224394121014,-320.52968209482435,213.70074291817406,2471079.0098581254,0.09614566477407803,0.06669801997949097,0.0,0.0,0.0,0.0,533.3463429017577,128.72358358841305,662.0699264901707,-448.36918357199664,280.1397393862435
31.5,7.5,496.87832926664043,272.2773912659175,13.470570081256357,2.4859950467857805,0.0022906948243341246,0,14.62484262140756,0.3726982575926261,1.5445025468806344,1.1718042892880083,286.6405700812564,0.8556070264768257,0.6663454637440632,0.8988941277714715,0.9706346065927575,35.03669333604816,7.461555295428837,134.0203161950202,-327.97644458937924,381.55387643118183,2469195.9840381537,0.10064853280251472,0.06674888434772025,0.0,0.0,0.0,0.0,596.3890844389225,177.43684416259484,773.8259286015174,-392.27205217033554,282.0362658510718
32.5,8.5,672.1759755206294,279.5161695717117,15.225399858622021,2.674098349288928,0.00244533603741131,0,13.596091679465927,0.39785853213187233,1.730251204471361,1.3323926723394885,288.39539985862206,0.924826174148243,0.6246855840245523,0.9469941438450555,0.9698650222865949,34.7035411220853,7.959237163885052,125.64018126479365,-336.2834984493435,534.747529580522,2465052.8309337934,0.111191343919355,0.06686107295638917,0.0,0.0,0.0,0.0,685.7800308985771,228.12161337805927,913.9016442766364,-379.15411469611433,284.25811616930264
33.5,9.5,815.3059047139755,284.9939442423784,16.53080450201015,2.844240141791068,0.00229254838729026,0,12.782776595630894,0.37299983407359216,1.880857962005593,1.5078581279320007,289.70080450201016,0.9636180397595431,0.5802866412703171,0.9727882726651089,0.9688441580940275,34.315225811670196,7.905166197523606,126.49955421724881,-346.2548020185634,656.2083383721133,2461970.770570754,0.11962977928334147,0.06694477413808167,0.0,0.0,0.0,0.0,787.7663552048725,265.561373335305,1053.3277285401775,-397.1193901680642,285.6267040306488
34.5,10.5,916.5140484190015,295.6386407316782,19.014652430408887,3.2511319692809,0.0026282470832714195,0,11.182962322160805,0.42761833573483543,2.1994028053570327,1.7717844696221974,292.1846524304089,0.9850452483425146,0.5157073517550792,0.9983380208519047,0.9676105322724545,33.88405717258917,7.360866820725824,135.85356512419474,-355.0995038113096,747.0714995290899,2456106.4056118047,0.13719233928127292,0.06710461598644099,0.0,0.0,0.0,0.0,966.2882343564347,294.1655712071721,1260.4538055636067,-513.3823060345168,287.57696297443573
35.5,11.5,968.9032386939596,306.82300695831015,21.553185999255252,3.557649201413313,0.0026890238135408714,0,10.219469165874322,0.4375067683767463,2.5727770098544327,2.1352702414776865,294.7231859992553,0.9946793266924668,0.4311002369450136,0.9925765750299262,0.9661834555425407,33.4454550050981,6.168452580009075,162.1152123696035,-363.45670560216945,796.0011514068251,2450112.9278557585,0.157350117269048,0.06726876761335997,0.0,0.0,0.0,0.0,1159.0249894459164,298.50690020984683,1457.5318896557633,-661.5307382489382,289.29738564627246
36.5,12.5,968.9032386939596,304.80715998141864,21.100832702472907,4.249976307194474,0.00269289315368506,0,8.554703294532295,0.4381363137506882,2.502450648830812,2.0643143350801236,294.27083270247294,0.9946793266924668,0.44722197893673055,0.9959624606058132,0.964667247010936,33.01793353665103,6.410885090383937,155.9847019407599,-372.85053375902135,784.5914762730818,2451180.933989461,0.15358530263644707,0.06723945788129514,0.0,0.0,0.0,0.0,1361.5627637109897,291.0923534246177,1652.6551171356073,-868.0636408625255,288.31089170106014
37.5,13.5,916.5140484190015,312.27562660655417,22.76567701408462,4.167542170606992,0.0023816635876860526,0,8.723915638637779,0.3874989631412034,2.7698654007471992,2.3823664376059956,295.93567701408466,0.9850452483425146,0.37645123067255754,0.9784545011724375,0.9631239412056104,32.6173122513646,5.241782237096507,190.7748080267282,-374.7381557285376,744.0698334867379,2447250.236569746,0.1678280475875331,0.06734745581287058,0.0,0.0,0.0,0.0,1446.8369099216316,272.3390375533578,1719.1759474749892,-975.1061139882513,289.1083802643889
38.5,14.5,815.3059047139755,307.9907934177501,21.814216893936297,4.560704240854497,0.0024620539877522303,0,7.971857940524737,0.40057855877898024,2.6141395585591485,2.213560999780168,294.9842168939363,0.9636180397595431,0.41353396676269616,0.9901572082945442,0.9616166160679568,32.23062375617135,5.691326234339252,175.70597059897716,-374.2456415575156,651.2143480085329,2449496.6339134164,0.15955787318972153,0.06728569245147363,0.0,0.0,0.0,0.0,1525.1762548775214,263.1089353746982,1788.2851902522195,-1137.0708422436867,287.70922494160965
39.5,15.5,672.1759755206294,308.66369860603356,21.964291912152447,3.916111344874105,0.0025416161896225768,0,9.284027729300831,0.4135234057713903,2.6381822359655427,2.2246588301941523,295.13429191215243,0.924826174148243,0.4110627704348507,0.9886119950843018,0.9601033043225907,31.87105173447161,5.412567885940899,184.7551884933382,-372.697124058368,527.4814330058194,2449142.306795408,0.16083898860238308,0.06729542693910359,0.0,0.0,0.0,0.0,1308.7320535802705,244.62306963466142,1553.355123214932,-1025.8736902091127,287.49037840830283
