Total Hour,Hour,SR_down,LW_down,Ta,wind_speed,q,precip,ra,e,e_sat,VPD,gR,gD,gT,Lambda,delta,psy_const,gSM,gS,rs,LW_up,Rn,Cinterim,Cactual,Dcanopy,lambdaEi,Cfinal,lambdaEt,lambdaET,H,Ts,SMlast,SMnew
31.5,7.5,497,272.3,13.47,2.49,2.29,0,14.601319805960145,0.37258520900321546,1.5444451675797828,1.1718599585765674,0.8556671449067432,0.6663308522047802,0.8988760000000013,2469197.33,0.10064525123912682,0.066748847962839,0.9709165934921865,7.463933242289241,133.97761844039388,-358.5845692621526,351.0754307378474,0.0,0.0,0.0,0.0,0.0,173.53520033297448,173.53520033297448,177.54023040487291,288.7205316917194,35.39188092541834,35.1388729079511
32.5,8.5,672,279.5,15.23,2.67,2.45,0,13.616961167356092,0.3986173633440515,1.7307627880140952,1.3321454246700437,0.9247706422018349,0.6247489718432139,0.9471000000000008,2465041.9699999997,0.1112201677426497,0.06686136754516113,0.970171372397232,7.962971022634978,125.58126824240234,-368.87520741474003,501.98479258526,0.0,0.0,0.0,0.0,0.0,223.6375787526143,223.6375787526143,278.3472138326457,291.44195314713676,35.1388729079511,34.812267806168826
33.5,9.5,815,285.0,16.53,2.84,2.29,0,12.801861379169281,0.37258520900321546,1.8807617177491782,1.5081765087459629,0.9635467980295567,0.5802071430641195,0.9727750000000007,2461972.67,0.11962441606363945,0.06694472248971717,0.96918107034546,7.906139385893518,126.48398304035014,-381.45436071773133,620.7456392822687,0.0,0.0,0.0,0.0,0.0,260.6693733398517,260.6693733398517,360.076265942417,293.3995854240594,34.812267806168826,34.431106083515154
34.5,10.5,917,295.6,19.01,3.25,2.63,0,11.186857328258696,0.42790353697749195,2.198764581943671,1.7708610449661792,0.9851387645478962,0.5159286871663784,0.9983190000000001,2456117.3899999997,0.13715750787839048,0.06710431587735227,0.9679836960134187,7.367424998949255,135.7326338771851,-393.8843452372813,708.6756547627188,0.0,0.0,0.0,0.0,0.0,289.1033920858885,289.1033920858885,419.57226267683023,295.94704069973307,34.431106083515154,34.00735915034874
35.5,11.5,969,306.8,21.55,3.56,2.69,0,10.21272087551707,0.4376655948553055,2.572275714252674,2.1346101193973688,0.9946963216424294,0.43124934021984707,0.9926039999999997,2450120.45,0.15732333089911263,0.06726856109070802,0.9665978601282721,6.173508706638505,161.98243940673134,-406.18003420567425,753.3399657943257,0.0,0.0,0.0,0.0,0.0,293.41074953828877,293.41074953828877,459.92921625603697,298.48979647358186,34.00735915034874,33.57624618268307
36.5,12.5,969,304.8,21.1,4.25,2.69,0,8.554655603962532,0.4376655948553055,2.5023227554890153,2.06465716063371,0.9946963216424294,0.44714362631361615,0.9959677499999998,2451182.9,0.15357844313412952,0.06723940395081004,0.965126359311337,6.412956125417929,155.93432739021438,-420.39468608710484,737.1253139128952,0.0,0.0,0.0,0.0,0.0,286.16446319749036,286.16446319749036,450.96085071540483,297.36618437446555,33.57624618268307,33.15596254431771
37.5,13.5,917,312.3,22.77,4.17,2.38,0,8.718773697084115,0.3872282958199357,2.770591032278506,2.3833627364585706,0.9851387645478962,0.3762355806444653,0.978391,2447240.03,0.1678664332775221,0.06734773669521009,0.9636294410778974,5.2416864844321065,190.77829301123143,-424.38610775161345,694.8738922483866,0.0,0.0,0.0,0.0,0.0,267.5740133342353,267.5740133342353,427.2998789141513,298.93001672970405,33.15596254431771,32.76234915282573
38.5,14.5,815,308.0,21.81,4.56,2.46,0,7.973089104570343,0.4002443729903537,2.6134667674963095,2.213222394505956,0.9635467980295567,0.41360943886998236,0.9901989999999998,2449506.59,0.15952200055741428,0.06728541896693489,0.9621692991150713,5.695455873492435,175.57857039225962,-425.6501331370013,599.5498668629987,0.0,0.0,0.0,0.0,0.0,258.4165324947142,258.4165324947142,341.13333436828447,297.16291195872964,32.76234915282573,32.382558577540536
39.5,15.5,672,308.7,21.96,3.92,2.54,0,9.274817937969582,0.41326045016077173,2.6374919792382325,2.2242315290774606,0.9247706422018349,0.4111578325771226,0.98865775,2449152.44,0.1608022303826652,0.06729514850877066,0.9607048923744284,5.417137244453098,184.59934738111988,-425.07489918192744,474.98510081807257,0.0,0.0,0.0,0.0,0.0,239.3534224129586,239.3534224129586,235.63167840511397,296.8839795003376,32.382558577540536,32.03073387826349
40.5,16.5,497,303.5,20.81,4.47,2.34,0,8.133621099964376,0.38072025723472674,2.4581280349513706,2.077407777716644,0.8556671449067432,0.44423265066442486,0.9975989999999999,2451867.59,0.1512052227811199,0.06722062718338637,0.9592977858310333,5.456523607969548,183.26686950267123,-419.2471959338722,321.6128040661278,0.0,0.0,0.0,0.0,0.0,211.69006946346758,211.69006946346758,109.92273460266023,294.69755782432446,32.03073387826349,31.71991601306691
41.5,17.5,301,296.0,19.09,4.01,2.47,0,9.066654941855553,0.401871382636656,2.2097616258819137,1.8078902432452577,0.7209580838323353,0.5070785708245125,0.998631,2455928.51,0.13775748862642118,0.06710947672105408,0.9580128222639119,5.246297299924327,190.61062361342425,-412.3639779438133,148.51602205618667,0.0,0.0,0.0,0.0,0.0,166.43252955519858,166.43252955519858,-17.916507499011914,292.12962753211764,31.71991601306691,31.475952435153676
42.5,18.5,99,292.5,18.28,3.52,2.65,0,10.328774521829763,0.4311575562700965,2.1006078438537785,1.669450287583682,0.39732441471571905,0.5404329827033612,0.9939937500000003,2457840.92,0.13178415775560182,0.06705725982071209,0.9569758908075656,3.0638183147411335,326.39011105477107,-399.2799253791918,-19.659925379191804,0.0,0.0,0.0,0.0,0.0,85.7688040180715,85.7688040180715,-105.42872939726331,290.5760366663719,31.475952435153676,31.350326853793813
43.5,19.5,0,279.9,15.33,3.82,2.21,0,9.517614219068264,0.3595691318327975,1.7419166529648429,1.3823475211320453,0.0,0.6119261197268804,0.949375,2464805.8699999996,0.11184832406451779,0.06686777209371789,0.9564319886866837,0.0001,1000000.0,-388.1522990124969,-108.2522990124969,0.0,0.0,0.0,0.0,0.0,0.02403418752190049,0.02403418752190049,-108.27633320001881,287.6729208352771,31.350326853793813,31.350291750390284
44.5,20.5,0,277.7,14.79,3.5,2.27,0,10.387796090525933,0.3693311897106109,1.6824262583139002,1.3130950686032894,0.0,0.6296399684634053,0.9364960000000009,2466080.8099999996,0.10849176022838163,0.0668332021003067,0.956431835747867,0.0001,1000000.0,-376.4538915298615,-98.7538915298615,0.0,0.0,0.0,0.0,0.0,0.022814515087810638,0.022814515087810638,-98.77670604494932,287.13650038853547,31.350291750390284,31.350258445620227
45.5,21.5,0,270.5,13.04,3.35,2.52,0,10.852921288609183,0.41000643086816724,1.5016943929164366,1.0916879620482693,0.0,0.6874956651743223,0.8847397500000013,2470212.5599999996,0.09819582369130904,0.06672141492569289,0.9564316906448562,0.0001,1000000.0,-367.5229481013859,-97.02294810138591,0.0,0.0,0.0,0.0,0.0,0.018836532393835835,0.018836532393835835,-97.04178463377974,285.36473892219317,31.350258445620227,31.35023099392732
